,speaker,file,word,time,f1,f2,f3,f0,language,gender,glottocode,item,ipa,c1,c1_phonation,vowel,anteropost,height,c2,c2_phonation,c2_place
31,it01,it01-004,pata,5,748.8391122892134,1181.2387725184776,2131.131285143911,112.2327182034641,Italian,m,ital1282,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
32,it01,it01-004,pata,6,765.3095630007808,1183.6174395946898,2134.0321726430743,114.05163143336134,Italian,m,ital1282,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
33,it01,it01-004,pata,7,766.3192875434975,1204.3237358454671,2106.009616071602,116.37292877694722,Italian,m,ital1282,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
34,it01,it01-004,pata,8,694.7871113504467,1242.3798125914109,2108.0217857313464,117.6112619719674,Italian,m,ital1282,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
35,it01,it01-004,pata,9,610.8328868273733,1244.787494420549,2112.7623010688912,117.67348295209548,Italian,m,ital1282,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
36,it01,it01-005,boco,1,457.9059842306557,895.3591163427809,2324.1864831815037,124.31629263283172,Italian,m,ital1282,15,boko,b,voiced,o,back,mid,k,voiceless,velar
37,it01,it01-005,boco,2,482.90203312700754,901.5451887606208,2340.9435109097253,115.18273190461558,Italian,m,ital1282,15,boko,b,voiced,o,back,mid,k,voiceless,velar
38,it01,it01-005,boco,3,528.1437731490482,893.4833966959552,2346.709680582651,113.31504545885592,Italian,m,ital1282,15,boko,b,voiced,o,back,mid,k,voiceless,velar
39,it01,it01-005,boco,4,541.267339784951,901.5762283598324,2313.503509047164,113.9443812389851,Italian,m,ital1282,15,boko,b,voiced,o,back,mid,k,voiceless,velar
40,it01,it01-005,boco,5,552.0547216903408,906.7570374145332,2244.535541995075,114.75096695052764,Italian,m,ital1282,15,boko,b,voiced,o,back,mid,k,voiceless,velar
41,it01,it01-005,boco,6,557.4512318863235,920.3424865277228,2179.679805861212,116.2486935615874,Italian,m,ital1282,15,boko,b,voiced,o,back,mid,k,voiceless,velar
42,it01,it01-005,boco,7,557.5276549271866,931.7210455929776,2083.354145074848,116.99897469973962,Italian,m,ital1282,15,boko,b,voiced,o,back,mid,k,voiceless,velar
43,it01,it01-005,boco,8,548.8133082141477,938.7001162281592,1960.4637766547064,117.50933141947856,Italian,m,ital1282,15,boko,b,voiced,o,back,mid,k,voiceless,velar
